"id","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","timestamp","user_id"
229,0,0,0,0,0,0,0,0,1,0,"2019-10-26 22:13:10",346
230,0,0,0,0,0,0,0,0,1,0,"2019-10-26 22:54:16",346
231,0,0,1,0,0,0,0,0,0,0,"2019-10-26 23:28:29",637
232,0,0,1,0,0,0,0,0,0,0,"2019-10-26 23:28:34",637
233,0,1,1,0,0,0,0,1,0,0,"2019-10-26 23:28:56",637
234,0,0,0,1,0,0,0,0,1,0,"2019-10-27 06:01:43",869
235,0,0,0,0,0,0,0,1,0,0,"2019-10-27 09:01:27",354
236,0,0,0,1,0,0,0,0,0,0,"2019-10-27 09:03:45",354
237,0,1,1,1,0,0,0,0,0,0,"2019-10-27 09:05:37",354
238,0,0,1,0,0,1,0,0,0,0,"2019-10-27 09:11:20",869
239,0,0,0,0,0,0,0,0,0,1,"2019-10-27 16:20:24",533
240,1,0,0,1,0,0,0,0,0,0,"2019-10-27 18:24:05",809
241,0,1,0,0,0,0,0,0,1,0,"2019-10-27 18:25:13",809
242,0,0,1,1,0,1,0,0,0,0,"2019-10-27 19:35:28",869
243,0,0,1,1,0,0,0,0,0,1,"2019-10-27 19:38:04",869
244,0,0,0,0,0,0,0,0,0,0,"2019-10-27 20:45:28",458
245,1,0,0,0,0,0,0,1,1,0,"2019-10-27 20:45:36",938
246,0,0,0,0,0,0,0,0,0,1,"2019-10-27 20:45:52",458
247,1,1,0,1,0,0,0,0,0,0,"2019-10-27 21:05:55",273
248,1,1,0,1,0,0,0,0,0,0,"2019-10-27 21:06:58",273
249,0,0,1,1,0,1,0,0,0,0,"2019-10-28 05:25:55",869
250,1,1,1,0,0,0,0,0,0,0,"2019-10-28 07:25:48",455
251,1,1,0,0,0,0,0,0,0,1,"2019-10-28 07:31:15",455
252,0,0,0,0,0,0,0,0,0,0,"2019-10-28 09:23:11",809
253,1,1,0,1,0,0,0,0,0,0,"2019-10-28 09:33:22",405
254,1,1,1,0,0,0,0,0,0,0,"2019-10-28 09:52:23",792
255,0,0,0,1,0,0,0,0,1,1,"2019-10-28 10:05:10",308
256,1,0,0,0,0,0,0,0,0,0,"2019-10-28 10:58:40",185
257,0,0,0,0,0,0,0,0,0,0,"2019-10-28 11:11:06",55
258,0,0,0,0,0,0,0,0,0,0,"2019-10-28 11:11:24",55
259,1,0,0,1,0,0,0,0,0,0,"2019-10-28 11:11:47",55
260,1,0,0,1,0,0,0,0,0,0,"2019-10-28 11:12:31",55
261,1,0,0,1,0,0,0,0,0,0,"2019-10-28 11:14:33",55
262,0,0,0,0,0,0,0,0,0,0,"2019-10-28 15:08:35",793
263,0,0,0,0,0,0,0,0,0,0,"2019-10-28 15:08:37",793
264,0,0,0,0,0,0,0,0,0,0,"2019-10-28 15:08:38",793
265,0,0,0,0,0,0,0,0,0,0,"2019-10-28 15:08:38",793
266,0,0,0,1,0,0,0,0,0,0,"2019-10-28 15:09:01",793
267,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:46",793
268,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:47",793
269,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:47",793
270,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:47",793
271,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:47",793
272,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:48",793
273,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:48",793
274,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:48",793
275,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:48",793
276,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:48",793
277,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:48",793
278,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:48",793
279,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:49",793
280,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:49",793
281,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:09:49",793
282,0,0,0,0,0,0,0,0,0,1,"2019-10-28 15:21:03",793
283,0,0,0,0,0,0,0,0,0,1,"2019-10-28 15:21:04",793
284,0,0,0,0,0,0,0,0,0,1,"2019-10-28 15:21:04",793
285,0,0,0,0,0,0,0,0,0,1,"2019-10-28 15:21:04",793
286,0,0,0,0,0,0,0,0,0,1,"2019-10-28 15:21:04",793
287,0,0,0,0,0,0,0,0,0,1,"2019-10-28 15:21:05",793
288,0,0,0,0,0,0,0,0,0,1,"2019-10-28 15:21:06",793
289,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:21:43",793
290,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:21:54",793
291,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:21:55",793
292,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:21:55",793
293,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:21:55",793
294,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:21:55",793
295,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:21:56",793
296,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:21:56",793
297,1,1,0,1,0,0,0,0,0,0,"2019-10-28 15:21:56",793
298,0,0,0,0,0,0,0,0,0,0,"2019-10-28 17:45:09",973
299,1,1,1,0,0,0,0,0,0,0,"2019-10-28 18:06:53",836
300,1,1,1,0,0,0,0,0,0,0,"2019-10-28 18:11:35",836
301,1,1,1,0,0,0,0,0,0,0,"2019-10-28 18:12:20",836
302,0,0,0,0,0,0,0,0,0,0,"2019-10-28 18:17:09",973
303,0,1,1,1,0,0,0,0,0,0,"2019-10-28 19:21:44",869
304,0,0,0,0,0,0,0,0,1,0,"2019-10-28 19:29:24",869
305,0,0,1,1,0,0,0,0,1,0,"2019-10-28 19:29:45",869
306,0,0,0,0,0,0,0,0,0,0,"2019-10-28 19:38:27",869
307,0,0,0,0,0,0,0,0,0,0,"2019-10-28 20:59:54",809
308,0,0,0,0,0,1,0,0,0,0,"2019-10-28 21:02:52",360
309,0,0,0,0,0,1,0,0,0,0,"2019-10-28 21:03:14",360
310,1,0,0,0,0,0,0,0,0,0,"2019-10-28 21:03:44",360
311,0,0,0,0,0,0,0,1,1,0,"2019-10-29 04:32:50",938
312,0,0,0,0,0,0,0,0,1,1,"2019-10-29 04:38:48",938
313,0,0,0,0,0,0,0,0,1,1,"2019-10-29 04:38:50",938
314,0,1,1,0,0,0,0,1,0,0,"2019-10-29 05:21:17",583
